201	-10	201
-201	-10	201
201	-10	-201
-201	-10	-201
201	-10	-160.8
201	-10	-120.6
201	-10	-80.40001
201	-10	-40.2
201	-10	0
201	-10	40.2
201	-10	80.4
201	-10	120.6
201	-10	160.8
160.8	-10	201
120.6	-10	201
80.40001	-10	201
40.2	-10	201
0	-10	201
-40.2	-10	201
-80.4	-10	201
-120.6	-10	201
-160.8	-10	201
-201	-10	160.8
-201	-10	120.6
-201	-10	80.40001
-201	-10	40.2
-201	-10	0
-201	-10	-40.2
-201	-10	-80.4
-201	-10	-120.6
-201	-10	-160.8
-160.8	-10	-201
-120.6	-10	-201
-80.40001	-10	-201
-40.2	-10	-201
0	-10	-201
40.2	-10	-201
80.4	-10	-201
120.6	-10	-201
160.8	-10	-201
160.8	-10	160.8
160.8	-10	120.6
160.8	-10	80.40001
160.8	-10	40.2
160.8	-10	0
160.8	-10	-40.2
160.8	-10	-80.4
160.8	-10	-120.6
160.8	-10	-160.8
120.6	-10	160.8
120.6	-10	120.6
120.6	-10	80.40001
120.6	-10	40.2
120.6	-10	0
120.6	-10	-40.2
120.6	-10	-80.4
120.6	-10	-120.6
120.6	-10	-160.8
80.40001	-10	160.8
80.40001	-10	120.6
80.40001	-10	80.40001
80.40001	-10	40.2
80.40001	-10	0
80.40001	-10	-40.2
80.40001	-10	-80.4
80.40001	-10	-120.6
80.40001	-10	-160.8
40.2	-10	160.8
40.2	-10	120.6
40.2	-10	80.40001
40.2	-10	40.2
40.2	-10	0
40.2	-10	-40.2
40.2	-10	-80.4
40.2	-10	-120.6
40.2	-10	-160.8
0	-10	160.8
0	-10	120.6
0	-10	80.40001
0	-10	40.2
0	-10	0
0	-10	-40.2
0	-10	-80.4
0	-10	-120.6
0	-10	-160.8
-40.2	-10	160.8
-40.2	-10	120.6
-40.2	-10	80.40001
-40.2	-10	40.2
-40.2	-10	0
-40.2	-10	-40.2
-40.2	-10	-80.4
-40.2	-10	-120.6
-40.2	-10	-160.8
-80.4	-10	160.8
-80.4	-10	120.6
-80.4	-10	80.40001
-80.4	-10	40.2
-80.4	-10	0
-80.4	-10	-40.2
-80.4	-10	-80.4
-80.4	-10	-120.6
-80.40001	-10	-160.8
-120.6	-10	160.8
-120.6	-10	120.6
-120.6	-10	80.40001
-120.6	-10	40.2
-120.6	-10	0
-120.6	-10	-40.2
-120.6	-10	-80.4
-120.6	-10	-120.6
-120.6	-10	-160.8
-160.8	-10	160.8
-160.8	-10	120.6
-160.8	-10	80.40001
-160.8	-10	40.2
-160.8	-10	0
-160.8	-10	-40.2
-160.8	-10	-80.4
-160.8	-10	-120.6
-160.8	-10	-160.8
